id,item,price,description,details,notes
823,Bread - Granary Small Pull,8.31,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,lobortis vel dapibus at,Phasellus in felis. Donec semper sapien a libero. Nam dui.
824,Chocolate - Semi Sweet,79.88,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",duis bibendum morbi non,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
825,"Yogurt - Banana, 175 Gr",71.33,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,massa id lobortis,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
826,Soup - Base Broth Beef,56.0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,rutrum ac lobortis vel,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
827,Duck - Legs,65.69,Nulla justo.,faucibus orci luctus,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
828,"Carrots - Mini, Stem On",90.03,Ut tellus. Nulla ut erat id mauris vulputate elementum.,mauris enim leo,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
829,Tea - Apple Green Tea,59.19,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",risus semper porta volutpat quam,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
830,Cheese Cloth,73.71,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,in felis eu sapien,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
831,"Mushroom - Shitake, Fresh",21.88,Etiam vel augue.,ut blandit non,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
832,Container - Hngd Cll Blk 7x7x3,1.21,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",purus aliquet at feugiat non,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
833,"Sauce - Gravy, Au Jus, Mix",27.93,Nulla tellus. In sagittis dui vel nisl.,adipiscing elit proin risus praesent,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
834,Bread - Granary Small Pull,97.64,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,mi nulla ac,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
835,Ice Cream - Super Sandwich,11.57,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",turpis donec posuere metus vitae,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
836,"Flour - Corn, Fine",93.79,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",aliquam non mauris morbi,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
837,Seedlings - Clamshell,94.68,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,neque vestibulum eget vulputate,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
838,Broom And Brush Rack Black,5.07,Integer non velit.,ac diam cras,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
839,Muffin - Bran Ind Wrpd,10.93,Pellentesque viverra pede ac diam.,consectetuer eget rutrum at lorem,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
840,Snapple Raspberry Tea,73.06,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",accumsan tellus nisi,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
841,Wine - Zonnebloem Pinotage,93.74,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",elit sodales scelerisque mauris sit,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
842,Soup - Campbells Beef Stew,92.56,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,libero nam dui proin,Fusce consequat. Nulla nisl. Nunc nisl.
843,Ice Cream Bar - Oreo Cone,38.36,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",odio in hac habitasse,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
844,Vinegar - Red Wine,25.69,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",nam ultrices libero non mattis,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
845,Persimmons,98.71,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",aenean auctor gravida sem,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
846,Wine - Blue Nun Qualitatswein,19.48,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",eleifend donec ut,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
847,Sesame Seed,91.29,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",nulla nunc purus phasellus in,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
848,Ham - Proscuitto,92.76,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",non pretium quis,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
849,Lobster - Live,78.75,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",quis lectus suspendisse potenti,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
850,Puree - Mango,94.47,Nunc purus.,turpis integer aliquet,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
851,Pastry - Apple Muffins - Mini,18.65,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",enim blandit mi in,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
852,"Napkin - Dinner, White",61.25,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",donec diam neque,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
853,Sauce Tomato Pouch,27.35,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",feugiat non pretium quis,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
854,Foil - Round Foil,93.54,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,congue eget semper rutrum nulla,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
855,Squid - Breaded,31.2,Suspendisse potenti. Nullam porttitor lacus at turpis.,sapien a libero nam dui,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
856,Soup - Campbellschix Stew,58.52,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,lacus curabitur at,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
857,"Vermouth - Sweet, Cinzano",45.1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",ipsum primis in,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
858,Sambuca - Ramazzotti,40.2,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",praesent blandit lacinia,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
859,Peas Snow,18.92,Duis mattis egestas metus.,tincidunt eget tempus,Phasellus in felis. Donec semper sapien a libero. Nam dui.
860,Trout - Smoked,87.27,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",posuere metus vitae,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
861,"Chocolate - Semi Sweet, Calets",95.99,Donec semper sapien a libero. Nam dui.,in faucibus orci,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
862,Honey - Comb,16.02,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",ornare imperdiet sapien,Fusce consequat. Nulla nisl. Nunc nisl.
863,Food Colouring - Green,15.57,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",eu interdum eu tincidunt,Fusce consequat. Nulla nisl. Nunc nisl.
864,Rice - Sushi,91.4,Sed accumsan felis.,tellus nulla ut,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
865,Beef - Top Butt Aaa,33.75,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,vulputate ut ultrices vel augue,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
866,"Spoon - Soup, Plastic",74.26,Vivamus tortor. Duis mattis egestas metus.,non velit nec nisi,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
867,Cookies Cereal Nut,82.07,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",faucibus cursus urna,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
868,Pie Pecan,35.45,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",justo sollicitudin ut suscipit a,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
869,Food Colouring - Red,58.55,Phasellus in felis. Donec semper sapien a libero.,malesuada in imperdiet,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
870,Tamarind Paste,65.55,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,erat quisque erat,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
871,Wine - Fontanafredda Barolo,63.79,Proin risus. Praesent lectus.,vitae mattis nibh ligula,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
872,Vector Energy Bar,87.97,Morbi ut odio.,a feugiat et eros,Fusce consequat. Nulla nisl. Nunc nisl.
873,"Rum - Spiced, Captain Morgan",57.21,Morbi a ipsum.,sed augue aliquam erat,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
874,"Shrimp - 21/25, Peel And Deviened",5.1,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,penatibus et magnis,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
875,Wine - Penfolds Koonuga Hill,88.79,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,est congue elementum in hac,Sed ante. Vivamus tortor. Duis mattis egestas metus.
876,Nori Sea Weed,46.66,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,amet lobortis sapien sapien non,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
877,"Vermouth - White, Cinzano",65.78,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",mauris lacinia sapien quis,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
878,Extract Vanilla Pure,14.16,Donec dapibus. Duis at velit eu est congue elementum.,sit amet sem fusce consequat,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
879,Salmon Atl.whole 8 - 10 Lb,87.68,Mauris lacinia sapien quis libero.,rutrum neque aenean,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
880,Sauce - Hp,10.48,Integer a nibh.,justo eu massa donec,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
881,Skirt - 24 Foot,95.4,Donec ut mauris eget massa tempor convallis.,dolor sit amet consectetuer,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
882,Juice - Propel Sport,29.34,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",metus arcu adipiscing molestie,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
883,Lettuce - Frisee,64.31,Fusce consequat. Nulla nisl.,odio condimentum id,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
884,Wine - Taylors Reserve,70.66,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",in libero ut,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
885,Pop - Club Soda Can,98.8,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",vivamus in felis eu sapien,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
886,Energy Drink Red Bull,57.43,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,non sodales sed,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
887,Salt And Pepper Mix - White,42.89,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",ut volutpat sapien arcu,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
888,Table Cloth 62x114 White,84.22,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,ac consequat metus,Fusce consequat. Nulla nisl. Nunc nisl.
889,Goldschalger,8.32,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",congue risus semper porta,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
890,Gingerale - Diet - Schweppes,70.64,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",enim blandit mi in porttitor,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
891,Cheese - Parmesan Grated,80.87,Suspendisse potenti.,ultrices mattis odio donec,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
892,Ham - Black Forest,92.52,Nulla nisl. Nunc nisl.,faucibus orci luctus et,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
893,Black Currants,74.99,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,mi in porttitor,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
894,"Shrimp - 16/20, Iqf, Shell On",26.51,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",nisl nunc rhoncus,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
895,Cheese - Valancey,35.7,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,phasellus sit amet erat nulla,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
896,Ecolab - Hobart Upr Prewash Arm,86.29,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,aliquam sit amet diam in,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
897,Bag - Regular Kraft 20 Lb,94.42,Fusce consequat. Nulla nisl.,vulputate nonummy maecenas tincidunt,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
898,Grapefruit - Pink,7.95,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",quis turpis eget elit,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
899,Croissants Thaw And Serve,30.08,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,aliquet massa id lobortis,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
900,Waffle Stix,81.88,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,quam suspendisse potenti nullam,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
901,Pepper - Roasted Red,53.7,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",sagittis sapien cum sociis natoque,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
902,"Wine - Saint - Bris 2002, Sauv",29.64,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,morbi vel lectus in quam,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
903,Sugar - Splenda Sweetener,90.63,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",iaculis justo in,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
904,Pastry - Key Limepoppy Seed Tea,52.46,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",ante ipsum primis in,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
905,Pastry - Banana Tea Loaf,28.52,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,metus vitae ipsum aliquam non,Fusce consequat. Nulla nisl. Nunc nisl.
906,Limes,69.67,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",tortor risus dapibus augue,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
907,Grenadine,97.45,Duis at velit eu est congue elementum.,ultrices posuere cubilia,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
908,Versatainer Nc - 8288,34.01,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",diam neque vestibulum eget,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
909,Juice Peach Nectar,41.15,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",donec quis orci,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
910,Cabbage - Savoy,28.41,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",hac habitasse platea dictumst,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
911,Taro Root,96.47,Nulla mollis molestie lorem. Quisque ut erat.,cursus urna ut,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
912,Chickensplit Half,36.71,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",est donec odio,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
913,Cake - Miini Cheesecake Cherry,67.13,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",malesuada in imperdiet et commodo,Phasellus in felis. Donec semper sapien a libero. Nam dui.
914,"Fish - Artic Char, Cold Smoked",80.21,Integer non velit.,mi in porttitor pede,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
915,Lettuce - Escarole,1.92,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",suscipit a feugiat,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
916,Shopper Bag - S - 4,89.39,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",lorem ipsum dolor,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
917,Rice - Aborio,19.33,Nulla mollis molestie lorem.,vel accumsan tellus nisi eu,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
918,Pastry - Cherry Danish - Mini,83.56,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",turpis enim blandit mi in,Sed ante. Vivamus tortor. Duis mattis egestas metus.
919,Silicone Paper 16.5x24,96.44,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",eget rutrum at,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
920,Shrimp - Black Tiger 8 - 12,34.94,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",amet sem fusce,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
921,Kippers - Smoked,95.54,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",sed augue aliquam erat volutpat,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
922,Savory,88.7,Aenean fermentum.,pellentesque ultrices phasellus id sapien,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
923,"Wine - Red, Wolf Blass, Yellow",48.96,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,erat tortor sollicitudin mi sit,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
